iter	Passed	Remaining
178	396	1819
179	397	1812
180	399	1806
181	400	1800
182	402	1795
183	404	1791
184	405	1785
185	406	1779
186	408	1775
187	409	1769
188	411	1764
189	412	1758
190	413	1752
191	415	1748
192	417	1743
193	418	1737
194	419	1731
195	420	1725
196	421	1719
197	423	1714
198	424	1709
199	425	1703
200	427	1698
201	428	1693
202	430	1689
203	431	1684
204	432	1678
205	434	1673
206	435	1667
207	436	1662
208	438	1657
209	439	1652
210	440	1647
211	441	1642
212	443	1638
213	445	1637
214	447	1632
215	448	1627
216	449	1622
217	450	1617
218	452	1612
219	453	1607
220	454	1603
221	456	1598
222	457	1593
223	458	1588
224	459	1584
225	461	1579
226	462	1574
227	463	1569
228	464	1564
229	466	1560
230	467	1555
231	468	1551
232	469	1546
233	471	1541
234	472	1537
235	474	1536
236	475	1532
237	477	1527
238	478	1522
239	479	1518
240	481	1515
241	482	1510
242	483	1506
243	484	1502
244	486	1498
245	487	1495
246	489	1491
247	490	1487
248	491	1483
249	493	1479
250	494	1475
251	496	1472
252	497	1470
253	499	1466
254	500	1462
255	501	1458
256	503	1455
257	504	1451
258	505	1447
259	507	1443
260	508	1440
261	510	1437
262	511	1433
263	512	1429
264	514	1426
265	515	1422
266	516	1419
267	518	1415
268	519	1411
269	520	1407
270	521	1403
271	523	1399
272	524	1396
273	525	1393
274	527	1389
275	528	1386
276	530	1383
277	532	1382
278	533	1378
279	534	1375
280	536	1372
281	537	1368
282	539	1366
283	540	1363
284	542	1360
285	543	1357
286	545	1354
287	546	1351
288	548	1348
289	549	1345
290	550	1342
291	552	1339
292	554	1336
293	555	1333
294	556	1329
295	557	1326
296	559	1323
297	560	1320
298	561	1316
299	562	1313
300	564	1310
301	565	1306
302	566	1303
303	568	1300
304	569	1297
305	570	1294
306	571	1291
307	573	1287
308	574	1285
309	576	1282
310	577	1279
311	578	1276
312	580	1273
313	581	1270
314	582	1267
315	584	1264
316	585	1261
317	586	1257
318	587	1254
319	589	1252
320	590	1249
321	592	1246
322	593	1243
323	594	1241
324	596	1238
325	597	1235
326	598	1232
327	600	1229
328	601	1227
329	602	1224
330	604	1221
331	605	1218
332	606	1215
333	608	1212
334	609	1209
335	612	1209
336	613	1207
337	614	1204
338	615	1201
339	617	1197
340	618	1195
341	620	1192
342	621	1190
343	622	1187
344	623	1184
345	625	1182
346	626	1179
347	628	1177
348	629	1174
349	630	1171
350	631	1168
351	633	1166
352	634	1163
353	635	1160
354	637	1157
355	638	1154
356	639	1152
357	641	1149
358	642	1146
359	643	1143
360	645	1142
361	646	1139
362	647	1136
363	649	1134
364	650	1131
365	651	1129
366	653	1126
367	654	1124
368	655	1121
369	656	1118
370	658	1115
371	659	1113
372	660	1110
373	662	1108
374	663	1105
375	664	1102
376	665	1099
377	666	1097
378	667	1094
379	669	1091
380	670	1089
381	671	1086
382	673	1084
383	674	1081
384	675	1079
385	677	1077
386	678	1074
387	679	1071
388	680	1069
389	681	1066
390	683	1064
391	685	1062
392	686	1059
393	687	1057
394	689	1055
395	690	1053
396	691	1050
397	692	1048
398	694	1045
399	695	1043
400	696	1040
401	698	1038
402	699	1036
403	700	1033
404	702	1031
405	703	1028
406	704	1026
407	705	1024
408	707	1021
409	708	1019
410	709	1016
411	710	1014
412	712	1012
413	713	1010
414	714	1007
415	716	1005
416	717	1002
417	718	1000
418	719	998
419	721	995
420	722	993
421	723	991
422	724	988
423	726	986
424	727	984
425	729	982
426	730	979
427	731	977
428	732	975
429	733	972
430	735	970
431	736	968
432	737	965
433	738	963
434	740	961
435	741	959
436	742	957
437	744	954
438	745	952
439	746	950
440	747	947
441	748	945
442	750	943
443	751	941
444	752	938
445	754	936
446	755	934
447	757	932
448	758	930
449	759	928
450	760	926
451	762	924
452	763	922
453	765	920
454	766	918
455	768	916
456	769	914
457	770	912
458	772	910
459	773	907
460	774	905
