iter	Passed	Remaining
589	891	619
590	893	618
591	894	616
592	896	615
593	897	613
594	898	611
595	900	610
596	901	608
597	902	606
598	904	605
599	905	603
600	906	601
601	907	600
602	908	598
603	910	596
604	911	594
605	912	593
606	914	591
607	915	590
608	916	588
609	917	586
610	918	584
611	919	583
612	921	581
613	922	579
614	923	578
615	924	576
616	925	574
617	927	573
618	928	571
619	929	569
620	930	568
621	931	566
622	933	564
623	934	563
624	935	561
625	937	559
626	938	558
627	939	556
628	941	555
629	943	553
630	944	552
631	945	550
632	946	549
633	948	547
634	949	545
635	950	544
636	951	542
637	952	540
638	953	538
639	955	537
640	956	535
641	957	534
642	959	532
643	960	530
644	961	529
645	962	527
646	964	526
647	965	524
648	966	522
649	967	521
650	969	519
651	970	517
652	971	516
653	972	514
654	974	513
655	975	511
656	977	510
657	978	508
658	979	506
659	981	505
660	982	503
661	983	502
662	985	501
663	987	499
664	988	497
665	989	496
666	991	494
667	992	493
668	993	491
669	995	490
670	996	488
671	998	487
672	999	485
673	1001	484
674	1002	482
675	1004	481
676	1005	479
677	1006	478
678	1007	476
679	1009	475
680	1011	473
681	1012	472
682	1014	470
683	1015	469
684	1016	467
685	1018	466
686	1019	464
687	1020	462
688	1022	461
689	1023	459
690	1024	458
691	1026	456
692	1027	455
693	1028	453
694	1030	452
695	1031	450
696	1032	448
697	1033	447
698	1035	445
699	1036	444
700	1037	442
701	1038	440
702	1039	439
703	1041	437
704	1042	436
705	1043	434
706	1045	433
707	1046	431
708	1047	430
709	1049	428
710	1050	427
711	1051	425
712	1053	423
713	1054	422
714	1056	420
715	1057	419
716	1058	417
717	1059	416
718	1061	414
719	1062	413
720	1063	411
721	1065	410
722	1066	408
723	1068	407
724	1069	405
725	1070	404
726	1072	402
727	1073	401
728	1074	399
729	1075	397
730	1077	396
731	1078	394
732	1079	393
733	1081	391
734	1082	390
735	1083	388
736	1084	387
737	1086	385
738	1087	384
739	1088	382
740	1089	380
741	1091	379
742	1092	377
743	1093	376
744	1095	374
745	1096	373
746	1097	371
747	1099	370
748	1100	368
749	1101	367
750	1103	365
751	1104	364
752	1105	362
753	1108	361
754	1110	360
755	1111	358
756	1112	357
757	1114	355
758	1115	354
759	1116	352
760	1118	351
761	1119	349
762	1120	348
763	1122	346
764	1123	345
765	1124	343
766	1125	342
767	1127	340
768	1128	338
769	1129	337
770	1130	335
771	1132	334
772	1133	332
773	1134	331
774	1135	329
775	1137	328
776	1138	326
777	1139	325
778	1140	323
779	1142	322
780	1143	320
781	1144	319
782	1145	317
783	1146	315
784	1148	314
785	1149	312
786	1150	311
787	1151	309
788	1152	308
789	1154	306
790	1155	305
791	1156	303
792	1157	302
793	1159	300
794	1160	299
795	1162	297
796	1163	296
797	1164	294
798	1165	293
799	1167	291
800	1168	290
801	1169	288
802	1170	287
803	1172	285
804	1174	284
805	1175	282
806	1176	281
807	1178	279
808	1179	278
809	1181	277
810	1182	275
811	1184	274
812	1185	272
813	1186	271
814	1188	269
815	1189	268
816	1191	266
817	1192	265
818	1193	263
819	1195	262
820	1196	260
821	1197	259
822	1198	257
823	1200	256
824	1201	254
825	1202	253
826	1203	251
827	1205	250
828	1206	248
829	1207	247
830	1208	245
831	1209	244
832	1211	242
833	1212	241
834	1213	239
835	1214	238
836	1215	236
837	1217	235
838	1218	233
839	1219	232
840	1220	230
841	1221	229
842	1223	227
843	1224	226
844	1225	224
845	1226	223
846	1228	221
847	1229	220
848	1231	218
849	1232	217
850	1233	215
851	1234	214
852	1235	212
853	1237	211
854	1238	210
855	1239	208
856	1241	207
857	1242	205
858	1243	204
859	1244	202
860	1246	201
861	1247	199
862	1248	198
863	1249	196
864	1250	195
865	1251	193
866	1253	192
867	1254	190
868	1255	189
869	1256	187
870	1258	186
871	1259	184
872	1260	183
873	1261	181
874	1262	180
875	1264	178
876	1265	177
877	1266	176
878	1267	174
879	1269	173
880	1270	171
881	1271	170
882	1272	168
883	1273	167
884	1275	165
885	1276	164
886	1277	162
887	1278	161
888	1279	159
889	1280	158
890	1282	156
891	1283	155
892	1284	153
893	1285	152
894	1286	150
895	1288	149
896	1289	148
897	1290	146
898	1291	145
899	1292	143
900	1293	142
901	1295	140
902	1296	139
903	1297	137
904	1298	136
905	1300	134
906	1301	133
907	1302	131
908	1303	130
909	1304	129
910	1306	127
911	1307	126
912	1308	124
913	1309	123
914	1311	121
915	1312	120
916	1313	118
917	1314	117
918	1315	115
919	1316	114
920	1318	113
921	1319	111
922	1320	110
923	1321	108
924	1322	107
925	1323	105
926	1325	104
927	1326	102
928	1327	101
929	1328	100
930	1330	98
931	1331	97
932	1332	95
933	1333	94
934	1334	92
935	1336	91
936	1337	89
937	1338	88
938	1339	87
939	1340	85
940	1342	84
941	1343	82
942	1344	81
943	1345	79
944	1346	78
945	1348	76
946	1350	75
947	1351	74
948	1352	72
949	1354	71
950	1355	69
951	1356	68
952	1358	66
953	1359	65
954	1360	64
955	1361	62
956	1363	61
957	1364	59
958	1365	58
959	1366	56
960	1368	55
961	1369	54
962	1370	52
963	1372	51
964	1373	49
965	1374	48
966	1376	46
967	1377	45
968	1379	44
969	1380	42
970	1381	41
971	1383	39
972	1384	38
973	1385	36
974	1387	35
975	1388	34
976	1390	32
977	1391	31
978	1393	29
979	1394	28
980	1395	27
981	1397	25
982	1398	24
983	1399	22
984	1401	21
985	1402	19
986	1404	18
987	1405	17
988	1407	15
989	1408	14
990	1409	12
991	1410	11
992	1412	9
993	1413	8
994	1414	7
995	1416	5
996	1417	4
997	1418	2
998	1420	1
999	1421	0
